region,type_etablissement,filiere,niveau_etude,moyenne_semestre_1,moyenne_semestre_2,taux_absence,modules_non_valides,participation,bourse,distance_logement_km,acces_internet,activite_professionnelle,historique_redoublement,situation_academique,decrochage
Dakhla-Oued Ed-Dahab,UNIVERSITE_PUBLIQUE,SCIENCES,M2,10.08,9.17,27.2,3,MOYENNE,NON,3.2,OUI,OUI,NON,REDOUBLEMENT,1
Dakhla-Oued Ed-Dahab,FACULTE,LETTRES,L1,12.5,13.59,34.6,0,FAIBLE,NON,5.6,OUI,NON,NON,NORMALE,0
Marrakech-Safi,IUT,ECONOMIE,M2,12.34,12.69,12.1,7,MOYENNE,NON,7.6,OUI,NON,NON,DIFFICULTE,0
Dakhla-Oued Ed-Dahab,UNIVERSITE_PRIVEE,LETTRES,M2,5.09,6.09,6.2,0,ELEVEE,NON,19.6,OUI,OUI,NON,REORIENTATION,0
Guelmim-Oued Noun,ECOLE_INGENIEUR,ECONOMIE,M2,4.47,6.94,28.4,4,MOYENNE,NON,11.3,NON,NON,NON,NORMALE,1
Laâyoune-Sakia El Hamra,IUT,ECONOMIE,L2,18.09,17.22,44.2,6,MOYENNE,NON,22.9,OUI,NON,NON,DIFFICULTE,0
Souss-Massa,ECOLE_INGENIEUR,DROIT,L2,15.22,16.14,16.8,4,FAIBLE,OUI,75.4,NON,NON,NON,REORIENTATION,0
Casablanca-Settat,UNIVERSITE_PUBLIQUE,SCIENCES,M1,17.41,16.52,17.7,1,ELEVEE,OUI,7.9,NON,NON,OUI,NORMALE,0
Drâa-Tafilalet,UNIVERSITE_PUBLIQUE,LETTRES,L1,13.96,15.27,12.6,4,FAIBLE,NON,19.5,NON,NON,NON,NORMALE,0
Béni Mellal-Khénifra,ECOLE_INGENIEUR,MEDECINE,L1,8.48,11.14,14.6,5,ELEVEE,OUI,4.1,OUI,OUI,NON,REDOUBLEMENT,1
Guelmim-Oued Noun,UNIVERSITE_PUBLIQUE,LETTRES,L1,18.79,19.41,47.8,6,MOYENNE,NON,15.2,NON,OUI,NON,NORMALE,0
Souss-Massa,FACULTE,SCIENCES,L1,10.91,9.99,21.5,1,ELEVEE,NON,36.6,OUI,OUI,OUI,REDOUBLEMENT,0
Béni Mellal-Khénifra,UNIVERSITE_PRIVEE,SCIENCES,L2,14.71,16.72,7.6,7,MOYENNE,OUI,18.7,NON,NON,NON,NORMALE,0
Dakhla-Oued Ed-Dahab,IUT,MEDECINE,M1,9.15,6.57,21.5,3,ELEVEE,OUI,8.0,OUI,NON,OUI,DIFFICULTE,1
Guelmim-Oued Noun,ECOLE_INGENIEUR,ECONOMIE,L2,8.54,8.73,9.9,0,ELEVEE,NON,7.4,OUI,OUI,NON,NORMALE,0
Tanger-Tétouan-Al Hoceïma,ECOLE_INGENIEUR,INFORMATIQUE,L3,10.03,12.01,12.2,0,MOYENNE,NON,6.0,OUI,NON,NON,REDOUBLEMENT,1
Fès-Meknès,UNIVERSITE_PRIVEE,INGENIERIE,M1,11.72,13.15,22.6,7,ELEVEE,NON,12.4,OUI,NON,NON,NORMALE,1
Drâa-Tafilalet,ECOLE_INGENIEUR,SCIENCES,L1,10.91,8.43,10.9,4,MOYENNE,NON,6.2,NON,OUI,NON,DIFFICULTE,1
Souss-Massa,IUT,ECONOMIE,L2,11.3,8.66,26.3,2,MOYENNE,NON,31.8,NON,OUI,NON,REDOUBLEMENT,1
Guelmim-Oued Noun,UNIVERSITE_PRIVEE,INFORMATIQUE,M1,11.36,11.03,13.1,1,MOYENNE,OUI,13.2,OUI,NON,NON,NORMALE,0
Casablanca-Settat,FACULTE,INGENIERIE,M2,9.71,7.61,23.1,1,MOYENNE,OUI,21.8,OUI,NON,NON,NORMALE,1
Dakhla-Oued Ed-Dahab,ECOLE_INGENIEUR,INFORMATIQUE,L2,6.96,7.55,9.0,7,MOYENNE,OUI,4.0,NON,NON,NON,NORMALE,1
Marrakech-Safi,ECOLE_INGENIEUR,DROIT,L1,14.04,16.01,41.8,6,ELEVEE,NON,0.4,OUI,NON,NON,REDOUBLEMENT,0
Casablanca-Settat,FACULTE,INFORMATIQUE,L1,11.49,11.46,21.7,4,MOYENNE,OUI,6.6,OUI,NON,NON,NORMALE,0
Guelmim-Oued Noun,IUT,DROIT,L1,9.82,9.44,23.9,4,MOYENNE,OUI,9.7,OUI,OUI,NON,DIFFICULTE,0
Casablanca-Settat,IUT,ECONOMIE,L3,9.35,8.48,43.9,2,ELEVEE,NON,0.3,OUI,OUI,NON,REORIENTATION,1
Laâyoune-Sakia El Hamra,UNIVERSITE_PUBLIQUE,SCIENCES,M2,16.3,14.44,16.3,0,FAIBLE,OUI,2.7,OUI,NON,NON,NORMALE,0
Dakhla-Oued Ed-Dahab,UNIVERSITE_PRIVEE,LETTRES,L1,10.16,9.74,19.7,3,MOYENNE,NON,18.8,OUI,OUI,NON,NORMALE,0
Béni Mellal-Khénifra,UNIVERSITE_PRIVEE,SCIENCES,M2,14.29,14.63,19.5,5,FAIBLE,NON,0.2,OUI,NON,NON,DIFFICULTE,0
Rabat-Salé-Kénitra,UNIVERSITE_PUBLIQUE,LETTRES,L1,9.84,9.16,13.1,3,MOYENNE,NON,8.4,OUI,NON,NON,NORMALE,1
Drâa-Tafilalet,UNIVERSITE_PRIVEE,INFORMATIQUE,L2,12.1,13.93,7.9,2,MOYENNE,NON,11.4,OUI,OUI,NON,REDOUBLEMENT,1
Béni Mellal-Khénifra,ECOLE_INGENIEUR,DROIT,L3,12.18,11.84,13.1,4,ELEVEE,OUI,18.9,OUI,OUI,NON,NORMALE,0
Guelmim-Oued Noun,ECOLE_INGENIEUR,DROIT,M1,8.44,7.86,25.5,0,MOYENNE,OUI,14.2,OUI,NON,NON,NORMALE,0
Marrakech-Safi,UNIVERSITE_PUBLIQUE,LETTRES,M2,10.18,8.71,16.4,0,MOYENNE,NON,8.7,OUI,OUI,NON,DIFFICULTE,1
Fès-Meknès,IUT,INGENIERIE,L1,10.37,8.93,8.7,1,MOYENNE,OUI,1.2,OUI,NON,NON,DIFFICULTE,1
Marrakech-Safi,FACULTE,MEDECINE,L1,5.66,7.08,11.1,0,MOYENNE,NON,4.9,NON,OUI,NON,DIFFICULTE,1
Drâa-Tafilalet,ECOLE_INGENIEUR,SCIENCES,L2,7.01,9.35,30.9,0,ELEVEE,OUI,0.8,OUI,NON,NON,NORMALE,0
Tanger-Tétouan-Al Hoceïma,UNIVERSITE_PUBLIQUE,SCIENCES,M2,12.96,11.63,24.7,0,MOYENNE,NON,14.8,OUI,NON,NON,DIFFICULTE,1
Laâyoune-Sakia El Hamra,UNIVERSITE_PUBLIQUE,INGENIERIE,L3,20.0,18.09,41.6,4,FAIBLE,OUI,10.0,OUI,NON,NON,REORIENTATION,0
Laâyoune-Sakia El Hamra,IUT,SCIENCES,L2,14.38,13.69,3.1,1,MOYENNE,OUI,1.7,OUI,OUI,NON,DIFFICULTE,0
Laâyoune-Sakia El Hamra,IUT,INFORMATIQUE,L2,11.68,12.83,29.4,0,MOYENNE,NON,16.5,NON,NON,NON,REORIENTATION,0
Guelmim-Oued Noun,UNIVERSITE_PUBLIQUE,DROIT,M1,12.28,10.04,39.8,1,ELEVEE,OUI,6.8,NON,NON,NON,NORMALE,0
Souss-Massa,IUT,LETTRES,M2,15.37,14.36,10.7,0,MOYENNE,NON,23.2,NON,NON,NON,DIFFICULTE,0
Fès-Meknès,ECOLE_INGENIEUR,INGENIERIE,L3,11.11,11.63,9.5,4,MOYENNE,NON,5.1,OUI,NON,NON,NORMALE,1
Dakhla-Oued Ed-Dahab,IUT,INFORMATIQUE,M2,15.38,15.33,15.6,4,MOYENNE,NON,7.7,OUI,NON,OUI,NORMALE,0
Casablanca-Settat,IUT,LETTRES,L1,10.77,10.85,27.4,3,MOYENNE,OUI,30.6,OUI,NON,NON,NORMALE,1
Souss-Massa,IUT,ECONOMIE,L2,13.44,10.92,8.5,6,ELEVEE,NON,10.3,OUI,OUI,NON,DIFFICULTE,0
Dakhla-Oued Ed-Dahab,UNIVERSITE_PUBLIQUE,LETTRES,L1,7.55,9.08,23.8,4,MOYENNE,NON,11.1,NON,NON,NON,NORMALE,1
Fès-Meknès,UNIVERSITE_PUBLIQUE,MEDECINE,L3,6.89,6.46,17.1,7,MOYENNE,NON,14.7,OUI,NON,NON,NORMALE,1
Guelmim-Oued Noun,FACULTE,SCIENCES,L3,10.08,10.9,13.7,3,MOYENNE,OUI,4.4,OUI,NON,NON,DIFFICULTE,0
Oriental,UNIVERSITE_PRIVEE,MEDECINE,L3,10.87,9.92,27.1,7,MOYENNE,NON,3.2,NON,NON,NON,NORMALE,1
Drâa-Tafilalet,IUT,SCIENCES,L3,16.35,16.53,17.2,4,MOYENNE,OUI,20.3,OUI,NON,OUI,NORMALE,0
Fès-Meknès,FACULTE,LETTRES,L1,9.48,5.79,7.0,1,MOYENNE,NON,1.9,OUI,OUI,NON,DIFFICULTE,0
Guelmim-Oued Noun,UNIVERSITE_PRIVEE,ECONOMIE,M1,11.44,11.95,28.2,0,MOYENNE,OUI,14.0,OUI,NON,NON,NORMALE,0
Rabat-Salé-Kénitra,ECOLE_INGENIEUR,INGENIERIE,M1,12.92,15.22,24.5,5,MOYENNE,NON,1.9,OUI,NON,NON,DIFFICULTE,0
Rabat-Salé-Kénitra,ECOLE_INGENIEUR,ECONOMIE,L1,11.56,9.91,24.0,7,FAIBLE,OUI,51.8,NON,NON,NON,DIFFICULTE,1
Laâyoune-Sakia El Hamra,UNIVERSITE_PRIVEE,INGENIERIE,L3,12.89,13.31,3.9,1,MOYENNE,OUI,5.1,OUI,NON,NON,DIFFICULTE,0
Casablanca-Settat,IUT,ECONOMIE,L1,10.01,13.36,21.1,4,MOYENNE,OUI,6.5,OUI,NON,NON,NORMALE,0
Guelmim-Oued Noun,IUT,LETTRES,M2,9.97,10.95,34.4,6,MOYENNE,OUI,9.2,OUI,NON,NON,NORMALE,1
Laâyoune-Sakia El Hamra,ECOLE_INGENIEUR,INGENIERIE,L3,13.04,9.69,22.5,0,FAIBLE,NON,11.6,OUI,NON,NON,NORMALE,0
Béni Mellal-Khénifra,UNIVERSITE_PRIVEE,ECONOMIE,L3,13.44,12.6,14.0,1,FAIBLE,OUI,25.3,OUI,OUI,NON,REDOUBLEMENT,0
Béni Mellal-Khénifra,UNIVERSITE_PUBLIQUE,INGENIERIE,L1,12.62,13.06,18.0,1,FAIBLE,NON,8.5,OUI,NON,OUI,REDOUBLEMENT,0
Casablanca-Settat,UNIVERSITE_PUBLIQUE,LETTRES,L2,13.74,11.2,14.2,3,MOYENNE,OUI,11.5,NON,NON,NON,DIFFICULTE,1
Guelmim-Oued Noun,IUT,INGENIERIE,L3,9.08,9.9,17.6,7,MOYENNE,NON,12.1,OUI,NON,OUI,DIFFICULTE,1
Casablanca-Settat,UNIVERSITE_PUBLIQUE,DROIT,M2,12.76,11.71,22.9,5,FAIBLE,OUI,25.5,OUI,NON,NON,NORMALE,0
Oriental,UNIVERSITE_PUBLIQUE,LETTRES,L1,14.34,13.99,16.6,4,MOYENNE,NON,3.3,OUI,NON,NON,DIFFICULTE,0
Béni Mellal-Khénifra,UNIVERSITE_PRIVEE,INGENIERIE,L3,16.49,16.08,35.9,6,FAIBLE,NON,23.7,OUI,OUI,NON,DIFFICULTE,1
Guelmim-Oued Noun,UNIVERSITE_PUBLIQUE,ECONOMIE,M2,10.45,9.24,31.4,5,MOYENNE,OUI,22.8,NON,OUI,NON,DIFFICULTE,1
Casablanca-Settat,ECOLE_INGENIEUR,ECONOMIE,L1,16.04,17.39,5.7,1,FAIBLE,NON,2.8,OUI,OUI,OUI,REORIENTATION,0
Drâa-Tafilalet,FACULTE,INFORMATIQUE,M1,13.81,17.04,32.8,3,FAIBLE,OUI,5.7,NON,NON,NON,NORMALE,0
Marrakech-Safi,FACULTE,LETTRES,L1,19.67,20.0,30.4,1,FAIBLE,NON,14.1,OUI,NON,NON,NORMALE,0
Marrakech-Safi,UNIVERSITE_PRIVEE,ECONOMIE,M1,14.51,13.91,17.9,0,MOYENNE,NON,4.5,OUI,NON,NON,REORIENTATION,0
Oriental,IUT,INFORMATIQUE,L3,12.11,11.38,48.6,3,ELEVEE,OUI,4.7,NON,OUI,NON,NORMALE,0
Souss-Massa,ECOLE_INGENIEUR,DROIT,M1,8.55,4.7,10.7,0,MOYENNE,NON,5.9,NON,OUI,NON,REORIENTATION,0
Tanger-Tétouan-Al Hoceïma,FACULTE,SCIENCES,M1,9.43,11.14,12.3,7,MOYENNE,OUI,0.8,OUI,OUI,NON,NORMALE,1
Casablanca-Settat,UNIVERSITE_PUBLIQUE,MEDECINE,L3,11.56,13.28,4.5,4,MOYENNE,NON,24.0,OUI,NON,OUI,NORMALE,0
Guelmim-Oued Noun,UNIVERSITE_PUBLIQUE,SCIENCES,M2,12.32,11.54,47.5,7,MOYENNE,NON,10.8,OUI,NON,NON,NORMALE,1
Drâa-Tafilalet,IUT,SCIENCES,L1,5.84,6.04,3.7,0,FAIBLE,OUI,3.3,OUI,NON,NON,REDOUBLEMENT,0
Souss-Massa,FACULTE,ECONOMIE,L2,14.45,14.32,5.6,5,ELEVEE,OUI,3.7,NON,OUI,NON,DIFFICULTE,1
Souss-Massa,FACULTE,DROIT,L1,14.81,16.63,39.7,6,FAIBLE,OUI,0.7,NON,OUI,NON,DIFFICULTE,1
Guelmim-Oued Noun,UNIVERSITE_PRIVEE,ECONOMIE,L2,7.64,5.97,34.3,7,MOYENNE,OUI,1.2,OUI,OUI,NON,NORMALE,1
Marrakech-Safi,UNIVERSITE_PRIVEE,INFORMATIQUE,L3,8.2,7.71,43.2,6,ELEVEE,OUI,8.4,OUI,OUI,NON,NORMALE,1
Laâyoune-Sakia El Hamra,UNIVERSITE_PUBLIQUE,ECONOMIE,L3,10.62,11.41,22.0,2,FAIBLE,NON,1.9,OUI,NON,NON,NORMALE,1
Rabat-Salé-Kénitra,UNIVERSITE_PUBLIQUE,LETTRES,L1,14.06,13.76,11.0,5,FAIBLE,OUI,31.3,NON,NON,NON,NORMALE,1
Marrakech-Safi,UNIVERSITE_PUBLIQUE,ECONOMIE,L3,9.91,11.35,26.9,3,MOYENNE,OUI,1.9,OUI,OUI,NON,NORMALE,1
Rabat-Salé-Kénitra,UNIVERSITE_PRIVEE,MEDECINE,L2,9.53,6.78,29.8,3,MOYENNE,NON,22.9,NON,NON,NON,NORMALE,1
Laâyoune-Sakia El Hamra,UNIVERSITE_PRIVEE,SCIENCES,L1,14.87,12.73,22.1,6,FAIBLE,NON,20.2,OUI,OUI,NON,NORMALE,0
Oriental,IUT,LETTRES,L2,15.3,12.98,14.6,6,MOYENNE,NON,14.2,OUI,NON,NON,NORMALE,0
Guelmim-Oued Noun,UNIVERSITE_PRIVEE,DROIT,L3,16.29,16.59,17.3,0,MOYENNE,NON,2.4,OUI,OUI,NON,NORMALE,0
Guelmim-Oued Noun,ECOLE_INGENIEUR,INGENIERIE,L1,14.19,13.91,30.7,3,ELEVEE,NON,0.5,OUI,NON,NON,NORMALE,1
Oriental,UNIVERSITE_PUBLIQUE,LETTRES,L2,11.04,12.2,10.4,4,ELEVEE,OUI,12.0,OUI,NON,NON,DIFFICULTE,0
Marrakech-Safi,ECOLE_INGENIEUR,MEDECINE,L1,13.72,15.67,5.2,7,MOYENNE,NON,23.6,OUI,NON,NON,DIFFICULTE,1
Marrakech-Safi,UNIVERSITE_PUBLIQUE,ECONOMIE,L2,9.85,12.22,44.2,3,MOYENNE,NON,5.5,NON,OUI,NON,NORMALE,0
Laâyoune-Sakia El Hamra,FACULTE,INGENIERIE,M1,13.44,12.65,1.2,4,MOYENNE,NON,14.6,OUI,NON,NON,DIFFICULTE,1
Oriental,ECOLE_INGENIEUR,MEDECINE,M2,8.34,8.7,29.7,5,FAIBLE,NON,62.6,NON,OUI,NON,NORMALE,1
Laâyoune-Sakia El Hamra,IUT,INFORMATIQUE,L1,8.31,6.71,20.9,4,MOYENNE,OUI,7.3,NON,OUI,OUI,NORMALE,1
Rabat-Salé-Kénitra,UNIVERSITE_PUBLIQUE,LETTRES,L1,6.96,6.14,9.6,3,ELEVEE,NON,10.1,OUI,NON,NON,NORMALE,1
Souss-Massa,IUT,INFORMATIQUE,L3,15.41,16.56,8.4,2,FAIBLE,NON,11.9,OUI,NON,OUI,NORMALE,0
Oriental,IUT,SCIENCES,L3,10.26,9.09,8.0,6,MOYENNE,NON,7.0,OUI,NON,NON,NORMALE,1
Casablanca-Settat,ECOLE_INGENIEUR,INGENIERIE,L1,6.82,4.1,16.0,6,FAIBLE,OUI,20.6,NON,NON,OUI,REORIENTATION,1
Béni Mellal-Khénifra,UNIVERSITE_PRIVEE,DROIT,M1,10.4,8.57,41.1,3,FAIBLE,OUI,18.7,OUI,OUI,OUI,DIFFICULTE,0
Laâyoune-Sakia El Hamra,ECOLE_INGENIEUR,LETTRES,M1,15.77,16.93,4.3,6,MOYENNE,OUI,3.9,NON,NON,NON,DIFFICULTE,1
Drâa-Tafilalet,ECOLE_INGENIEUR,INGENIERIE,L1,11.84,10.01,35.5,5,ELEVEE,NON,1.1,OUI,NON,NON,REORIENTATION,1
Béni Mellal-Khénifra,IUT,INFORMATIQUE,L2,11.21,13.31,30.6,6,MOYENNE,NON,24.3,OUI,OUI,NON,REDOUBLEMENT,1
Laâyoune-Sakia El Hamra,IUT,DROIT,L2,13.88,17.22,21.4,3,MOYENNE,NON,2.0,OUI,NON,NON,NORMALE,0
Casablanca-Settat,ECOLE_INGENIEUR,MEDECINE,L2,10.81,12.33,28.5,2,MOYENNE,NON,50.5,OUI,NON,NON,REDOUBLEMENT,1
Tanger-Tétouan-Al Hoceïma,UNIVERSITE_PUBLIQUE,SCIENCES,L2,14.53,16.31,17.4,1,MOYENNE,NON,3.2,OUI,OUI,NON,REORIENTATION,0
Souss-Massa,FACULTE,DROIT,L2,9.84,10.11,14.2,7,ELEVEE,NON,1.8,OUI,NON,NON,DIFFICULTE,0
Tanger-Tétouan-Al Hoceïma,IUT,INFORMATIQUE,L1,13.89,13.25,7.9,5,FAIBLE,NON,49.5,NON,NON,NON,NORMALE,1
Laâyoune-Sakia El Hamra,IUT,LETTRES,L2,15.66,15.94,20.1,3,MOYENNE,NON,18.7,OUI,NON,NON,NORMALE,0
Rabat-Salé-Kénitra,IUT,MEDECINE,L1,14.28,15.29,50.1,5,ELEVEE,NON,3.6,OUI,OUI,NON,DIFFICULTE,1
Oriental,ECOLE_INGENIEUR,DROIT,M2,14.28,13.26,37.9,6,MOYENNE,NON,10.4,NON,NON,NON,NORMALE,0
Guelmim-Oued Noun,IUT,LETTRES,L1,14.62,13.75,9.1,3,MOYENNE,NON,29.1,OUI,OUI,NON,NORMALE,1
Marrakech-Safi,UNIVERSITE_PUBLIQUE,LETTRES,L3,11.24,12.42,23.9,5,MOYENNE,OUI,1.7,OUI,NON,NON,REDOUBLEMENT,0
Fès-Meknès,IUT,ECONOMIE,L2,8.28,5.78,27.1,2,MOYENNE,NON,4.8,OUI,OUI,NON,NORMALE,1
Guelmim-Oued Noun,ECOLE_INGENIEUR,MEDECINE,M2,9.06,8.27,12.7,7,ELEVEE,NON,0.6,OUI,NON,NON,NORMALE,1
Oriental,IUT,ECONOMIE,L2,13.06,12.91,7.0,0,MOYENNE,NON,23.2,OUI,OUI,NON,DIFFICULTE,0
Oriental,FACULTE,INGENIERIE,L1,6.42,3.79,27.7,5,FAIBLE,NON,1.2,NON,NON,OUI,NORMALE,1
Dakhla-Oued Ed-Dahab,UNIVERSITE_PUBLIQUE,ECONOMIE,M2,13.49,16.7,26.2,1,MOYENNE,NON,31.2,OUI,NON,NON,NORMALE,0
Tanger-Tétouan-Al Hoceïma,ECOLE_INGENIEUR,INFORMATIQUE,L1,14.62,13.05,37.2,4,FAIBLE,OUI,20.0,OUI,NON,NON,NORMALE,1
Drâa-Tafilalet,UNIVERSITE_PRIVEE,INGENIERIE,M1,7.7,9.67,17.8,3,MOYENNE,NON,5.2,NON,OUI,NON,NORMALE,1
Souss-Massa,IUT,MEDECINE,L3,11.22,13.01,35.3,0,MOYENNE,NON,36.6,OUI,NON,NON,REDOUBLEMENT,0
Drâa-Tafilalet,FACULTE,ECONOMIE,M1,9.04,10.31,5.8,5,FAIBLE,OUI,19.5,OUI,NON,NON,DIFFICULTE,1
Souss-Massa,UNIVERSITE_PRIVEE,INGENIERIE,M1,8.02,5.5,39.2,5,ELEVEE,NON,19.3,OUI,NON,OUI,NORMALE,1
Fès-Meknès,FACULTE,SCIENCES,M1,11.63,16.08,18.5,6,ELEVEE,NON,6.7,OUI,NON,NON,REDOUBLEMENT,0
Oriental,UNIVERSITE_PRIVEE,SCIENCES,L1,10.54,11.71,59.7,3,MOYENNE,OUI,14.9,OUI,NON,NON,NORMALE,1
Béni Mellal-Khénifra,FACULTE,ECONOMIE,M1,8.55,4.55,3.8,1,FAIBLE,OUI,1.9,OUI,NON,NON,REORIENTATION,1
Rabat-Salé-Kénitra,ECOLE_INGENIEUR,INGENIERIE,M2,11.62,11.12,24.3,4,FAIBLE,OUI,12.8,OUI,NON,NON,DIFFICULTE,0
Béni Mellal-Khénifra,UNIVERSITE_PRIVEE,DROIT,M2,11.4,14.2,35.2,4,ELEVEE,OUI,19.7,NON,NON,NON,NORMALE,1
Drâa-Tafilalet,UNIVERSITE_PRIVEE,DROIT,L1,9.97,10.01,20.9,2,MOYENNE,NON,1.3,OUI,NON,OUI,DIFFICULTE,1
Marrakech-Safi,IUT,INFORMATIQUE,M1,12.83,17.54,29.4,7,ELEVEE,NON,3.4,OUI,NON,NON,REDOUBLEMENT,1
Dakhla-Oued Ed-Dahab,IUT,LETTRES,L2,10.41,12.12,15.9,7,FAIBLE,NON,5.9,OUI,OUI,NON,NORMALE,1
Dakhla-Oued Ed-Dahab,UNIVERSITE_PUBLIQUE,INGENIERIE,M2,13.38,14.44,13.3,0,MOYENNE,OUI,1.5,OUI,OUI,NON,DIFFICULTE,0
Laâyoune-Sakia El Hamra,IUT,INGENIERIE,M2,14.36,15.43,31.2,5,ELEVEE,OUI,28.3,OUI,OUI,NON,NORMALE,0
Rabat-Salé-Kénitra,UNIVERSITE_PRIVEE,ECONOMIE,M1,13.62,11.64,29.9,5,FAIBLE,OUI,0.8,NON,OUI,NON,NORMALE,0
Guelmim-Oued Noun,UNIVERSITE_PUBLIQUE,ECONOMIE,L3,16.92,14.19,1.6,2,ELEVEE,OUI,1.5,NON,OUI,NON,NORMALE,0
Guelmim-Oued Noun,IUT,SCIENCES,M1,12.63,11.3,27.1,7,ELEVEE,NON,0.9,OUI,NON,NON,DIFFICULTE,1
Dakhla-Oued Ed-Dahab,UNIVERSITE_PRIVEE,INFORMATIQUE,L2,6.38,7.0,36.3,3,FAIBLE,OUI,2.4,OUI,OUI,NON,NORMALE,1
Dakhla-Oued Ed-Dahab,ECOLE_INGENIEUR,LETTRES,L3,7.83,8.82,25.6,1,MOYENNE,OUI,8.9,OUI,NON,NON,DIFFICULTE,0
Rabat-Salé-Kénitra,FACULTE,LETTRES,L2,6.88,6.29,29.7,5,FAIBLE,OUI,18.8,OUI,NON,NON,NORMALE,1
Tanger-Tétouan-Al Hoceïma,ECOLE_INGENIEUR,INFORMATIQUE,M1,10.89,11.03,12.3,4,ELEVEE,OUI,9.7,NON,NON,OUI,NORMALE,1
Marrakech-Safi,IUT,MEDECINE,M1,6.34,9.5,11.6,5,MOYENNE,NON,10.8,OUI,OUI,OUI,DIFFICULTE,0
Dakhla-Oued Ed-Dahab,UNIVERSITE_PRIVEE,MEDECINE,M2,10.08,10.18,23.9,6,ELEVEE,OUI,17.9,OUI,NON,NON,DIFFICULTE,1
Fès-Meknès,UNIVERSITE_PRIVEE,LETTRES,L2,18.25,17.59,26.6,4,MOYENNE,NON,84.8,NON,NON,NON,DIFFICULTE,0
Béni Mellal-Khénifra,UNIVERSITE_PRIVEE,INFORMATIQUE,L3,5.88,6.4,17.7,7,ELEVEE,NON,0.9,OUI,OUI,NON,REDOUBLEMENT,1
Casablanca-Settat,UNIVERSITE_PRIVEE,LETTRES,L1,9.29,7.56,31.1,6,FAIBLE,OUI,37.6,OUI,NON,NON,DIFFICULTE,1
Casablanca-Settat,ECOLE_INGENIEUR,LETTRES,L2,14.49,15.07,11.1,7,MOYENNE,OUI,17.4,OUI,NON,OUI,REDOUBLEMENT,0
Dakhla-Oued Ed-Dahab,ECOLE_INGENIEUR,MEDECINE,M1,15.94,16.08,24.4,6,ELEVEE,NON,3.2,OUI,NON,NON,NORMALE,0
Tanger-Tétouan-Al Hoceïma,ECOLE_INGENIEUR,INFORMATIQUE,L2,8.22,6.92,11.3,3,FAIBLE,NON,55.8,OUI,NON,NON,NORMALE,0
Dakhla-Oued Ed-Dahab,UNIVERSITE_PUBLIQUE,INFORMATIQUE,M1,7.42,5.07,10.6,4,MOYENNE,NON,6.9,OUI,NON,NON,NORMALE,1
Tanger-Tétouan-Al Hoceïma,UNIVERSITE_PUBLIQUE,SCIENCES,L1,12.09,11.6,52.5,2,MOYENNE,NON,12.2,NON,OUI,NON,NORMALE,1
Laâyoune-Sakia El Hamra,FACULTE,MEDECINE,L2,18.4,18.44,6.3,0,ELEVEE,NON,1.2,OUI,OUI,NON,NORMALE,0
Casablanca-Settat,FACULTE,SCIENCES,L3,9.81,7.29,7.8,7,FAIBLE,NON,17.9,OUI,NON,NON,DIFFICULTE,1
Souss-Massa,FACULTE,ECONOMIE,L2,14.1,13.21,17.6,1,FAIBLE,NON,12.2,OUI,OUI,NON,DIFFICULTE,0
Rabat-Salé-Kénitra,IUT,MEDECINE,M1,16.25,15.74,21.7,1,FAIBLE,NON,25.0,NON,OUI,NON,DIFFICULTE,0
Marrakech-Safi,UNIVERSITE_PUBLIQUE,SCIENCES,L3,13.84,14.86,2.9,2,ELEVEE,OUI,10.7,NON,OUI,NON,NORMALE,0
Drâa-Tafilalet,ECOLE_INGENIEUR,SCIENCES,L2,12.69,13.07,29.7,4,FAIBLE,OUI,2.0,NON,NON,NON,DIFFICULTE,1
Laâyoune-Sakia El Hamra,ECOLE_INGENIEUR,MEDECINE,M1,13.1,13.18,12.9,1,ELEVEE,NON,14.8,OUI,NON,NON,REDOUBLEMENT,0
Fès-Meknès,FACULTE,MEDECINE,M2,5.44,4.84,6.4,5,MOYENNE,NON,8.9,OUI,NON,NON,NORMALE,1
Drâa-Tafilalet,UNIVERSITE_PUBLIQUE,INFORMATIQUE,L3,10.46,12.03,10.8,0,MOYENNE,NON,9.8,OUI,NON,NON,REORIENTATION,0
Béni Mellal-Khénifra,FACULTE,ECONOMIE,L3,11.36,11.56,22.4,0,ELEVEE,NON,3.7,NON,OUI,OUI,NORMALE,0
Drâa-Tafilalet,IUT,MEDECINE,M2,11.49,9.46,20.4,5,MOYENNE,NON,4.1,OUI,OUI,NON,NORMALE,1
Rabat-Salé-Kénitra,ECOLE_INGENIEUR,DROIT,L3,7.99,9.36,12.1,2,FAIBLE,OUI,22.6,OUI,NON,NON,NORMALE,1
Souss-Massa,UNIVERSITE_PRIVEE,DROIT,M1,9.22,9.59,32.6,3,FAIBLE,OUI,0.8,OUI,NON,NON,NORMALE,1
Rabat-Salé-Kénitra,FACULTE,MEDECINE,L2,17.44,18.33,3.0,4,MOYENNE,OUI,0.8,OUI,NON,NON,NORMALE,0
Guelmim-Oued Noun,ECOLE_INGENIEUR,DROIT,M2,8.32,10.71,8.1,6,ELEVEE,NON,1.3,OUI,NON,OUI,NORMALE,0
Laâyoune-Sakia El Hamra,UNIVERSITE_PUBLIQUE,ECONOMIE,L3,9.12,9.88,11.6,1,MOYENNE,NON,1.4,OUI,NON,NON,DIFFICULTE,0
