secteur_activite,region,age_demandeur,statut_professionnel,revenu_mensuel_mad,charges_mensuelles_mad,montant_demande_mad,duree_credit_mois,anciennete_professionnelle_annees,credits_existants,incidents_paiement_24_mois,ratio_endettement,type_garantie,type_credit,defaut_paiement
INDUSTRIE,Oriental,70,SALARIE_CDI,8774,1742,19807,48,45,0,1,0.174,CAUTION,IMMOBILIER,0
TECH,Oriental,29,INDEPENDANT,6894,2569,54270,84,11,3,1,0.357,CAUTION,IMMOBILIER,1
INDUSTRIE,Tanger-Tétouan-Al Hoceïma,56,SALARIE_CDI,9758,6069,108021,24,36,0,3,0.659,HYPOTHEQUE,CONSOMMATION,1
SERVICES,Drâa-Tafilalet,53,SALARIE_CDI,7237,3475,139406,84,29,4,0,0.542,HYPOTHEQUE,PROFESSIONNEL,1
INDUSTRIE,Oriental,45,SALARIE_CDI,9118,4534,47912,24,20,0,0,0.523,CAUTION,IMMOBILIER,0
COMMERCE,Marrakech-Safi,74,SALARIE_CDI,17836,9842,44124,120,45,4,0,0.599,HYPOTHEQUE,PROFESSIONNEL,1
COMMERCE,Béni Mellal-Khénifra,44,SALARIE_CDI,7125,1921,14463,60,17,4,0,0.268,CAUTION,CONSOMMATION,0
INDUSTRIE,Fès-Meknès,41,SALARIE_CDI,9713,4237,91100,84,15,2,0,0.405,HYPOTHEQUE,IMMOBILIER,1
INDUSTRIE,Rabat-Salé-Kénitra,51,SALARIE_CDI,22673,11483,7144,120,30,4,0,0.432,CAUTION,CONSOMMATION,1
SERVICES,Fès-Meknès,76,SALARIE_CDI,9657,2917,83629,12,45,0,0,0.233,AUCUNE,IMMOBILIER,0
COMMERCE,Laâyoune-Sakia El Hamra,72,SALARIE_CDI,2710,932,36999,36,45,5,0,0.338,CAUTION,CONSOMMATION,1
SERVICES,Oriental,62,SALARIE_CDI,6004,3006,6619,60,37,0,4,0.566,AUCUNE,IMMOBILIER,1
TECH,Fès-Meknès,23,INDEPENDANT,4714,2613,45965,12,0,4,0,0.507,NANTISSEMENT,IMMOBILIER,1
TECH,Tanger-Tétouan-Al Hoceïma,36,FONCTIONNAIRE,12270,4059,32548,12,13,5,0,0.485,CAUTION,PROFESSIONNEL,0
INDUSTRIE,Laâyoune-Sakia El Hamra,18,SALARIE_CDI,7768,3595,26526,60,0,3,0,0.454,HYPOTHEQUE,CONSOMMATION,0
TECH,Béni Mellal-Khénifra,23,SALARIE_CDD,13077,6305,30064,24,0,3,1,0.432,CAUTION,PROFESSIONNEL,1
SERVICES,Guelmim-Oued Noun,70,SALARIE_CDD,10670,6556,35836,48,44,1,1,0.587,AUCUNE,AUTO,0
INDUSTRIE,Béni Mellal-Khénifra,69,SALARIE_CDI,10649,5790,35762,60,45,0,0,0.54,CAUTION,PROFESSIONNEL,0
INDUSTRIE,Dakhla-Oued Ed-Dahab,24,SALARIE_CDD,4673,1155,12927,84,1,3,0,0.315,NANTISSEMENT,IMMOBILIER,1
COMMERCE,Béni Mellal-Khénifra,46,SALARIE_CDI,10170,4707,48148,120,27,4,0,0.469,AUCUNE,IMMOBILIER,0
TECH,Tanger-Tétouan-Al Hoceïma,35,SALARIE_CDD,14987,9425,27841,12,12,2,1,0.567,HYPOTHEQUE,PROFESSIONNEL,0
AGRICULTURE,Fès-Meknès,22,FONCTIONNAIRE,4225,1433,110283,12,0,3,0,0.427,AUCUNE,AUTO,1
INDUSTRIE,Casablanca-Settat,42,SALARIE_CDD,7025,3742,66307,12,15,2,2,0.502,HYPOTHEQUE,PROFESSIONNEL,0
INDUSTRIE,Guelmim-Oued Noun,24,SALARIE_CDI,9504,3988,71740,84,6,2,0,0.379,CAUTION,CONSOMMATION,1
COMMERCE,Dakhla-Oued Ed-Dahab,64,SALARIE_CDI,8468,3124,133669,12,44,1,0,0.392,HYPOTHEQUE,CONSOMMATION,1
INDUSTRIE,Béni Mellal-Khénifra,78,INDEPENDANT,15467,6730,60791,48,45,5,2,0.485,HYPOTHEQUE,CONSOMMATION,1
SERVICES,Souss-Massa,44,FONCTIONNAIRE,11247,4078,32781,12,17,4,0,0.411,HYPOTHEQUE,CONSOMMATION,1
AGRICULTURE,Rabat-Salé-Kénitra,33,FONCTIONNAIRE,9728,3006,6057,84,14,1,0,0.222,AUCUNE,PROFESSIONNEL,1
TECH,Béni Mellal-Khénifra,49,INDEPENDANT,11707,6211,42986,84,29,3,0,0.612,CAUTION,CONSOMMATION,0
AGRICULTURE,Marrakech-Safi,78,FONCTIONNAIRE,11429,4758,121970,60,45,4,0,0.364,AUCUNE,CONSOMMATION,1
SERVICES,Béni Mellal-Khénifra,28,SALARIE_CDI,8254,5096,67931,120,10,0,0,0.649,CAUTION,IMMOBILIER,0
SERVICES,Fès-Meknès,60,INDEPENDANT,6907,1066,25457,60,40,1,0,0.177,AUCUNE,PROFESSIONNEL,0
INDUSTRIE,Laâyoune-Sakia El Hamra,23,SALARIE_CDI,12653,6765,37870,60,0,2,1,0.565,HYPOTHEQUE,CONSOMMATION,0
AGRICULTURE,Dakhla-Oued Ed-Dahab,36,FONCTIONNAIRE,5800,1326,24610,36,14,3,0,0.218,CAUTION,CONSOMMATION,0
SERVICES,Marrakech-Safi,45,SALARIE_CDD,7844,4162,44982,120,19,1,1,0.588,HYPOTHEQUE,CONSOMMATION,1
SERVICES,Fès-Meknès,42,SALARIE_CDI,4815,2817,25405,36,19,5,0,0.587,AUCUNE,CONSOMMATION,0
SERVICES,Dakhla-Oued Ed-Dahab,29,SALARIE_CDI,11263,6105,99465,24,9,1,1,0.612,AUCUNE,CONSOMMATION,1
TECH,Casablanca-Settat,66,SALARIE_CDD,14110,6306,39507,48,44,3,0,0.391,HYPOTHEQUE,CONSOMMATION,0
TECH,Oriental,60,FONCTIONNAIRE,5319,1124,43492,24,36,1,0,0.301,HYPOTHEQUE,IMMOBILIER,0
COMMERCE,Rabat-Salé-Kénitra,45,SALARIE_CDI,7561,4765,20338,60,20,3,2,0.544,NANTISSEMENT,CONSOMMATION,0
SERVICES,Souss-Massa,44,SALARIE_CDI,6529,2045,27108,60,22,4,0,0.399,NANTISSEMENT,AUTO,1
TECH,Casablanca-Settat,22,SALARIE_CDD,13146,2157,16173,36,0,3,2,0.139,CAUTION,CONSOMMATION,0
INDUSTRIE,Rabat-Salé-Kénitra,59,INDEPENDANT,15331,2314,97929,12,40,2,0,0.173,AUCUNE,PROFESSIONNEL,0
SERVICES,Tanger-Tétouan-Al Hoceïma,32,INDEPENDANT,6532,3392,25354,48,11,4,2,0.497,HYPOTHEQUE,IMMOBILIER,0
INDUSTRIE,Casablanca-Settat,36,FONCTIONNAIRE,2500,1416,40611,48,11,3,2,0.521,AUCUNE,CONSOMMATION,1
COMMERCE,Guelmim-Oued Noun,72,SALARIE_CDD,13613,7508,12280,60,45,4,0,0.531,AUCUNE,CONSOMMATION,0
INDUSTRIE,Oriental,58,SALARIE_CDD,8269,3552,15331,12,32,3,0,0.471,CAUTION,IMMOBILIER,0
AGRICULTURE,Souss-Massa,61,SALARIE_CDI,8284,3860,30478,12,39,4,4,0.487,AUCUNE,PROFESSIONNEL,1
COMMERCE,Souss-Massa,34,SALARIE_CDI,12502,7544,29204,84,11,3,0,0.667,CAUTION,PROFESSIONNEL,0
INDUSTRIE,Laâyoune-Sakia El Hamra,49,SALARIE_CDI,6879,3314,43102,24,25,4,0,0.51,AUCUNE,CONSOMMATION,1
COMMERCE,Laâyoune-Sakia El Hamra,18,INDEPENDANT,6102,1987,148417,120,0,0,0,0.345,AUCUNE,PROFESSIONNEL,0
COMMERCE,Casablanca-Settat,33,SALARIE_CDD,6905,4317,8848,24,8,2,0,0.711,HYPOTHEQUE,IMMOBILIER,1
SERVICES,Drâa-Tafilalet,68,SALARIE_CDI,10098,6390,72036,36,45,0,1,0.658,AUCUNE,AUTO,1
COMMERCE,Souss-Massa,47,FONCTIONNAIRE,12035,5584,51469,120,23,1,0,0.416,CAUTION,IMMOBILIER,1
SERVICES,Guelmim-Oued Noun,57,SALARIE_CDI,16897,7317,23560,12,31,1,4,0.373,NANTISSEMENT,IMMOBILIER,0
INDUSTRIE,Guelmim-Oued Noun,67,SALARIE_CDD,9716,6009,26808,120,45,2,0,0.713,HYPOTHEQUE,PROFESSIONNEL,0
COMMERCE,Drâa-Tafilalet,77,FONCTIONNAIRE,7593,4093,79543,12,45,2,1,0.536,AUCUNE,CONSOMMATION,0
COMMERCE,Drâa-Tafilalet,23,INDEPENDANT,12074,2528,34766,24,0,3,0,0.214,CAUTION,IMMOBILIER,0
INDUSTRIE,Marrakech-Safi,54,INDEPENDANT,5234,3293,28988,36,35,3,1,0.601,AUCUNE,CONSOMMATION,1
SERVICES,Laâyoune-Sakia El Hamra,80,INDEPENDANT,15348,7861,17430,60,45,4,0,0.435,HYPOTHEQUE,PROFESSIONNEL,1
COMMERCE,Drâa-Tafilalet,30,SALARIE_CDI,8912,4630,20226,60,5,4,3,0.619,AUCUNE,AUTO,1
INDUSTRIE,Fès-Meknès,72,FONCTIONNAIRE,7311,2562,15500,36,45,3,2,0.29,NANTISSEMENT,CONSOMMATION,1
AGRICULTURE,Marrakech-Safi,54,INDEPENDANT,5242,808,67451,48,27,0,0,0.106,AUCUNE,AUTO,0
COMMERCE,Oriental,38,SALARIE_CDI,10744,3071,20975,48,19,2,0,0.271,AUCUNE,AUTO,0
TECH,Tanger-Tétouan-Al Hoceïma,67,INDEPENDANT,7142,2254,15743,84,42,3,0,0.293,AUCUNE,CONSOMMATION,0
INDUSTRIE,Drâa-Tafilalet,72,RETRAITE,7766,2935,41039,36,45,3,0,0.35,CAUTION,IMMOBILIER,0
TECH,Tanger-Tétouan-Al Hoceïma,26,FONCTIONNAIRE,3820,1913,20509,120,4,5,2,0.537,AUCUNE,CONSOMMATION,1
SERVICES,Marrakech-Safi,60,SALARIE_CDI,6663,2501,107228,48,34,0,3,0.433,HYPOTHEQUE,CONSOMMATION,1
INDUSTRIE,Tanger-Tétouan-Al Hoceïma,76,SALARIE_CDI,6274,2108,37375,84,45,5,1,0.335,NANTISSEMENT,IMMOBILIER,0
SERVICES,Guelmim-Oued Noun,59,FONCTIONNAIRE,9783,2681,41921,60,35,3,1,0.29,HYPOTHEQUE,CONSOMMATION,0
SERVICES,Guelmim-Oued Noun,52,INDEPENDANT,7184,3838,42002,36,32,2,0,0.49,HYPOTHEQUE,IMMOBILIER,0
AGRICULTURE,Fès-Meknès,26,SALARIE_CDI,2500,1359,54157,36,8,3,0,0.574,CAUTION,CONSOMMATION,0
TECH,Guelmim-Oued Noun,46,SALARIE_CDI,6723,2229,59712,48,22,4,0,0.32,CAUTION,IMMOBILIER,0
COMMERCE,Rabat-Salé-Kénitra,75,SALARIE_CDI,4211,1090,37068,12,45,3,0,0.242,CAUTION,CONSOMMATION,0
COMMERCE,Dakhla-Oued Ed-Dahab,68,SALARIE_CDD,5068,1318,17834,36,45,2,1,0.31,HYPOTHEQUE,PROFESSIONNEL,0
COMMERCE,Guelmim-Oued Noun,46,INDEPENDANT,12730,6128,32612,48,22,5,0,0.411,AUCUNE,CONSOMMATION,1
COMMERCE,Casablanca-Settat,37,FONCTIONNAIRE,3789,2032,37856,36,17,1,1,0.59,HYPOTHEQUE,CONSOMMATION,0
TECH,Drâa-Tafilalet,68,FONCTIONNAIRE,9253,5020,11585,12,45,3,0,0.542,HYPOTHEQUE,CONSOMMATION,1
COMMERCE,Souss-Massa,78,FONCTIONNAIRE,6449,3775,8322,60,45,3,2,0.563,CAUTION,CONSOMMATION,0
TECH,Laâyoune-Sakia El Hamra,36,FONCTIONNAIRE,5913,3118,15539,120,10,3,1,0.617,HYPOTHEQUE,CONSOMMATION,1
INDUSTRIE,Marrakech-Safi,69,FONCTIONNAIRE,5215,2049,9268,48,43,2,0,0.435,CAUTION,CONSOMMATION,1
AGRICULTURE,Laâyoune-Sakia El Hamra,37,SALARIE_CDI,9356,2654,25835,36,12,4,2,0.201,NANTISSEMENT,PROFESSIONNEL,1
SERVICES,Laâyoune-Sakia El Hamra,70,SALARIE_CDI,9841,3315,21141,60,45,4,1,0.387,HYPOTHEQUE,IMMOBILIER,1
INDUSTRIE,Fès-Meknès,78,INDEPENDANT,3728,1088,38641,12,45,5,2,0.324,AUCUNE,CONSOMMATION,1
AGRICULTURE,Souss-Massa,59,SALARIE_CDD,13599,2716,59663,120,37,5,1,0.138,AUCUNE,CONSOMMATION,1
SERVICES,Béni Mellal-Khénifra,49,SALARIE_CDI,4751,1054,44469,48,24,4,0,0.22,HYPOTHEQUE,PROFESSIONNEL,0
SERVICES,Marrakech-Safi,37,SALARIE_CDD,9652,1509,49223,84,12,0,1,0.199,AUCUNE,CONSOMMATION,1
INDUSTRIE,Dakhla-Oued Ed-Dahab,21,FONCTIONNAIRE,4763,1183,70415,36,3,1,0,0.159,AUCUNE,CONSOMMATION,1
INDUSTRIE,Marrakech-Safi,21,SALARIE_CDI,6591,3741,28904,24,0,5,2,0.609,CAUTION,CONSOMMATION,0
AGRICULTURE,Marrakech-Safi,70,FONCTIONNAIRE,4558,1908,5856,60,45,2,0,0.401,AUCUNE,IMMOBILIER,0
TECH,Oriental,59,SALARIE_CDI,6387,2202,10710,36,41,0,0,0.338,AUCUNE,PROFESSIONNEL,0
COMMERCE,Souss-Massa,32,INDEPENDANT,7402,1989,51476,60,11,0,0,0.328,NANTISSEMENT,IMMOBILIER,0
AGRICULTURE,Casablanca-Settat,52,FONCTIONNAIRE,4831,2149,41661,60,27,0,0,0.409,CAUTION,CONSOMMATION,0
COMMERCE,Laâyoune-Sakia El Hamra,73,INDEPENDANT,9335,5944,59077,60,45,0,0,0.584,CAUTION,PROFESSIONNEL,0
TECH,Marrakech-Safi,58,INDEPENDANT,9902,3208,265599,84,35,5,1,0.361,HYPOTHEQUE,CONSOMMATION,0
SERVICES,Rabat-Salé-Kénitra,75,INDEPENDANT,27384,15712,42344,36,45,4,0,0.581,HYPOTHEQUE,IMMOBILIER,0
COMMERCE,Oriental,25,SALARIE_CDI,12307,7625,33967,120,4,0,0,0.599,HYPOTHEQUE,IMMOBILIER,1
SERVICES,Dakhla-Oued Ed-Dahab,22,SALARIE_CDI,13758,7477,46271,120,1,2,0,0.477,AUCUNE,IMMOBILIER,1
SERVICES,Casablanca-Settat,59,INDEPENDANT,3655,1629,15786,48,36,5,0,0.427,NANTISSEMENT,CONSOMMATION,0
COMMERCE,Souss-Massa,54,INDEPENDANT,3357,1011,61600,12,35,1,0,0.273,CAUTION,CONSOMMATION,1
SERVICES,Laâyoune-Sakia El Hamra,61,INDEPENDANT,7089,1182,32211,12,37,4,0,0.156,AUCUNE,CONSOMMATION,0
COMMERCE,Laâyoune-Sakia El Hamra,79,RETRAITE,18107,9385,117940,48,45,2,0,0.44,CAUTION,PROFESSIONNEL,0
COMMERCE,Marrakech-Safi,24,FONCTIONNAIRE,24673,15494,11845,12,0,3,1,0.594,AUCUNE,CONSOMMATION,1
SERVICES,Béni Mellal-Khénifra,76,FONCTIONNAIRE,5947,2941,36431,120,45,1,0,0.516,CAUTION,AUTO,0
INDUSTRIE,Laâyoune-Sakia El Hamra,21,INDEPENDANT,6224,1046,23405,36,0,1,0,0.164,CAUTION,CONSOMMATION,1
COMMERCE,Drâa-Tafilalet,51,SALARIE_CDI,10350,2274,17214,36,25,0,0,0.21,CAUTION,CONSOMMATION,0
AGRICULTURE,Béni Mellal-Khénifra,70,INDEPENDANT,7415,2569,56154,48,45,0,0,0.299,CAUTION,IMMOBILIER,1
INDUSTRIE,Guelmim-Oued Noun,60,INDEPENDANT,7500,4835,29078,120,35,4,0,0.599,CAUTION,IMMOBILIER,1
AGRICULTURE,Souss-Massa,32,FONCTIONNAIRE,10783,2075,92169,60,8,5,0,0.179,HYPOTHEQUE,PROFESSIONNEL,0
TECH,Casablanca-Settat,56,SALARIE_CDD,27501,8496,25044,60,38,1,2,0.308,AUCUNE,PROFESSIONNEL,0
COMMERCE,Béni Mellal-Khénifra,74,FONCTIONNAIRE,14575,6208,27589,48,45,4,1,0.384,HYPOTHEQUE,IMMOBILIER,0
INDUSTRIE,Béni Mellal-Khénifra,30,INDEPENDANT,18791,3871,148784,36,9,0,0,0.215,CAUTION,CONSOMMATION,0
TECH,Laâyoune-Sakia El Hamra,77,SALARIE_CDI,3534,738,14106,12,45,2,1,0.218,HYPOTHEQUE,CONSOMMATION,0
TECH,Dakhla-Oued Ed-Dahab,59,SALARIE_CDI,13143,2423,20983,60,35,4,0,0.133,NANTISSEMENT,AUTO,1
INDUSTRIE,Tanger-Tétouan-Al Hoceïma,23,FONCTIONNAIRE,5285,2121,5000,48,0,2,0,0.463,HYPOTHEQUE,IMMOBILIER,0
AGRICULTURE,Dakhla-Oued Ed-Dahab,38,INDEPENDANT,17230,5053,26561,120,19,5,1,0.252,AUCUNE,PROFESSIONNEL,1
AGRICULTURE,Casablanca-Settat,72,FONCTIONNAIRE,14925,2534,58897,12,45,0,1,0.125,NANTISSEMENT,PROFESSIONNEL,0
COMMERCE,Dakhla-Oued Ed-Dahab,39,FONCTIONNAIRE,10633,4263,48381,84,14,0,0,0.369,HYPOTHEQUE,IMMOBILIER,0
TECH,Rabat-Salé-Kénitra,77,SALARIE_CDI,5800,2988,40173,60,45,2,0,0.448,AUCUNE,CONSOMMATION,0
COMMERCE,Béni Mellal-Khénifra,44,SALARIE_CDD,6518,3157,19665,24,23,2,1,0.397,AUCUNE,PROFESSIONNEL,0
TECH,Drâa-Tafilalet,39,INDEPENDANT,6759,3326,31784,48,13,0,0,0.545,AUCUNE,CONSOMMATION,1
TECH,Béni Mellal-Khénifra,71,SALARIE_CDD,11419,4857,27494,84,45,1,1,0.471,CAUTION,PROFESSIONNEL,0
SERVICES,Dakhla-Oued Ed-Dahab,67,SALARIE_CDD,9718,5254,36177,60,43,4,0,0.497,AUCUNE,PROFESSIONNEL,0
SERVICES,Oriental,33,SALARIE_CDD,15352,2782,41025,24,9,0,2,0.214,HYPOTHEQUE,IMMOBILIER,0
INDUSTRIE,Rabat-Salé-Kénitra,67,SALARIE_CDD,16728,4104,28409,60,45,2,3,0.213,HYPOTHEQUE,PROFESSIONNEL,0
AGRICULTURE,Béni Mellal-Khénifra,33,SALARIE_CDD,5539,2779,36926,12,13,2,4,0.451,HYPOTHEQUE,CONSOMMATION,0
INDUSTRIE,Fès-Meknès,74,INDEPENDANT,10035,3190,33912,12,45,0,0,0.306,HYPOTHEQUE,PROFESSIONNEL,0
AGRICULTURE,Béni Mellal-Khénifra,18,SALARIE_CDD,9980,2689,22641,36,0,4,0,0.257,HYPOTHEQUE,CONSOMMATION,1
COMMERCE,Tanger-Tétouan-Al Hoceïma,59,FONCTIONNAIRE,7764,1270,38394,12,41,0,0,0.213,AUCUNE,IMMOBILIER,0
INDUSTRIE,Casablanca-Settat,27,SALARIE_CDD,12379,7232,14854,60,5,1,0,0.466,CAUTION,PROFESSIONNEL,0
AGRICULTURE,Béni Mellal-Khénifra,60,INDEPENDANT,10107,5751,41232,24,35,1,2,0.555,HYPOTHEQUE,IMMOBILIER,0
COMMERCE,Rabat-Salé-Kénitra,79,SALARIE_CDI,6257,1128,16688,36,45,0,1,0.293,CAUTION,CONSOMMATION,1
INDUSTRIE,Fès-Meknès,60,SALARIE_CDI,7601,2297,35672,60,35,4,1,0.19,HYPOTHEQUE,CONSOMMATION,0
SERVICES,Béni Mellal-Khénifra,45,SALARIE_CDD,6925,1782,50302,84,20,3,3,0.229,NANTISSEMENT,CONSOMMATION,1
SERVICES,Laâyoune-Sakia El Hamra,69,RETRAITE,5841,1480,18994,12,45,1,1,0.238,NANTISSEMENT,CONSOMMATION,1
SERVICES,Fès-Meknès,30,FONCTIONNAIRE,7798,2176,74831,36,6,5,3,0.287,NANTISSEMENT,PROFESSIONNEL,0
INDUSTRIE,Fès-Meknès,52,FONCTIONNAIRE,4521,1350,126980,48,34,0,1,0.335,HYPOTHEQUE,PROFESSIONNEL,1
COMMERCE,Fès-Meknès,78,SALARIE_CDD,10029,5047,23040,12,45,2,0,0.51,AUCUNE,IMMOBILIER,1
INDUSTRIE,Oriental,40,SALARIE_CDI,15243,9678,32816,24,21,0,0,0.714,HYPOTHEQUE,PROFESSIONNEL,0
SERVICES,Marrakech-Safi,19,RETRAITE,8289,1432,84825,48,0,2,3,0.154,HYPOTHEQUE,IMMOBILIER,1
SERVICES,Oriental,45,SALARIE_CDD,12405,3863,10315,36,20,0,0,0.364,AUCUNE,CONSOMMATION,0
INDUSTRIE,Guelmim-Oued Noun,48,INDEPENDANT,8690,4203,37174,60,21,1,0,0.476,HYPOTHEQUE,PROFESSIONNEL,1
AGRICULTURE,Casablanca-Settat,69,INDEPENDANT,5116,1550,29394,120,45,5,1,0.342,CAUTION,PROFESSIONNEL,0
INDUSTRIE,Dakhla-Oued Ed-Dahab,68,FONCTIONNAIRE,19994,4910,68209,24,45,5,0,0.214,CAUTION,CONSOMMATION,0
SERVICES,Oriental,39,SALARIE_CDI,2724,637,30589,24,19,0,0,0.189,CAUTION,PROFESSIONNEL,0
COMMERCE,Béni Mellal-Khénifra,66,SALARIE_CDI,8141,3655,49830,120,43,5,0,0.383,NANTISSEMENT,AUTO,1
AGRICULTURE,Béni Mellal-Khénifra,27,SALARIE_CDI,5734,1293,20410,36,7,2,1,0.213,CAUTION,IMMOBILIER,1
TECH,Dakhla-Oued Ed-Dahab,29,RETRAITE,16511,3274,70694,12,3,4,1,0.163,HYPOTHEQUE,IMMOBILIER,1
TECH,Béni Mellal-Khénifra,56,INDEPENDANT,8930,4687,16562,120,32,0,3,0.542,CAUTION,PROFESSIONNEL,0
AGRICULTURE,Laâyoune-Sakia El Hamra,62,SALARIE_CDD,25590,8237,66808,60,36,0,2,0.356,HYPOTHEQUE,CONSOMMATION,0
COMMERCE,Fès-Meknès,68,INDEPENDANT,8235,4919,38305,120,45,3,1,0.649,AUCUNE,CONSOMMATION,0
AGRICULTURE,Marrakech-Safi,57,SALARIE_CDI,5754,2291,6988,84,31,1,2,0.439,AUCUNE,CONSOMMATION,1
SERVICES,Béni Mellal-Khénifra,26,SALARIE_CDI,3753,810,37954,60,7,2,0,0.271,CAUTION,CONSOMMATION,1
TECH,Rabat-Salé-Kénitra,60,SALARIE_CDI,13333,3285,55541,84,38,1,5,0.281,NANTISSEMENT,CONSOMMATION,0
TECH,Rabat-Salé-Kénitra,45,INDEPENDANT,5566,3288,15359,12,21,2,4,0.534,AUCUNE,IMMOBILIER,1
AGRICULTURE,Marrakech-Safi,34,SALARIE_CDI,6708,1427,20072,60,12,0,0,0.227,CAUTION,IMMOBILIER,0
COMMERCE,Fès-Meknès,39,SALARIE_CDI,14082,4334,38645,24,14,2,2,0.272,HYPOTHEQUE,AUTO,0
TECH,Rabat-Salé-Kénitra,69,SALARIE_CDI,13017,3927,25385,12,45,2,0,0.295,CAUTION,PROFESSIONNEL,0
SERVICES,Drâa-Tafilalet,29,SALARIE_CDD,6159,3966,45739,84,3,0,1,0.642,HYPOTHEQUE,IMMOBILIER,1
COMMERCE,Oriental,53,SALARIE_CDD,6606,4209,31367,12,34,2,0,0.513,AUCUNE,CONSOMMATION,1
INDUSTRIE,Marrakech-Safi,23,SALARIE_CDI,3677,1824,14418,12,4,4,4,0.444,NANTISSEMENT,CONSOMMATION,1
COMMERCE,Fès-Meknès,63,INDEPENDANT,3213,860,185325,48,41,5,3,0.243,AUCUNE,CONSOMMATION,0
COMMERCE,Dakhla-Oued Ed-Dahab,27,RETRAITE,11426,2738,28627,36,2,1,2,0.1,AUCUNE,CONSOMMATION,1
INDUSTRIE,Laâyoune-Sakia El Hamra,77,SALARIE_CDI,12008,2162,39616,120,45,4,0,0.245,AUCUNE,CONSOMMATION,0
SERVICES,Rabat-Salé-Kénitra,73,RETRAITE,9516,1719,125578,60,45,3,0,0.187,CAUTION,IMMOBILIER,0
INDUSTRIE,Béni Mellal-Khénifra,71,INDEPENDANT,8815,5469,66438,12,45,0,0,0.626,HYPOTHEQUE,IMMOBILIER,1
COMMERCE,Fès-Meknès,39,INDEPENDANT,5897,2664,53277,24,14,1,3,0.503,AUCUNE,CONSOMMATION,0
COMMERCE,Tanger-Tétouan-Al Hoceïma,67,SALARIE_CDI,15688,3909,76150,84,45,0,0,0.285,NANTISSEMENT,PROFESSIONNEL,1
TECH,Béni Mellal-Khénifra,26,INDEPENDANT,3631,1963,53424,84,2,1,0,0.576,HYPOTHEQUE,PROFESSIONNEL,1
SERVICES,Dakhla-Oued Ed-Dahab,36,FONCTIONNAIRE,6563,1235,53423,84,11,5,0,0.239,NANTISSEMENT,CONSOMMATION,0
TECH,Oriental,26,SALARIE_CDI,8711,3582,54014,24,7,2,3,0.426,CAUTION,CONSOMMATION,0
COMMERCE,Dakhla-Oued Ed-Dahab,21,INDEPENDANT,8102,2008,32269,120,0,4,4,0.264,AUCUNE,IMMOBILIER,1
SERVICES,Guelmim-Oued Noun,41,SALARIE_CDI,8096,3030,77061,48,17,3,3,0.397,CAUTION,PROFESSIONNEL,0
INDUSTRIE,Guelmim-Oued Noun,54,INDEPENDANT,6415,1697,58227,24,32,0,0,0.199,HYPOTHEQUE,CONSOMMATION,0
COMMERCE,Guelmim-Oued Noun,72,FONCTIONNAIRE,10336,2256,7261,120,45,0,3,0.113,HYPOTHEQUE,PROFESSIONNEL,0
INDUSTRIE,Guelmim-Oued Noun,20,SALARIE_CDD,4689,2876,65879,12,0,5,5,0.51,CAUTION,CONSOMMATION,0
SERVICES,Fès-Meknès,43,SALARIE_CDI,7595,4633,20839,12,22,3,3,0.645,CAUTION,IMMOBILIER,1
SERVICES,Dakhla-Oued Ed-Dahab,62,INDEPENDANT,9841,3903,43047,36,35,2,0,0.37,AUCUNE,CONSOMMATION,1
SERVICES,Dakhla-Oued Ed-Dahab,30,SALARIE_CDI,6977,3789,11265,84,4,2,0,0.529,HYPOTHEQUE,CONSOMMATION,0
SERVICES,Béni Mellal-Khénifra,64,INDEPENDANT,8121,2037,24142,48,45,4,2,0.259,AUCUNE,CONSOMMATION,0
SERVICES,Drâa-Tafilalet,53,FONCTIONNAIRE,8928,3111,28140,24,29,1,0,0.419,AUCUNE,IMMOBILIER,1
TECH,Laâyoune-Sakia El Hamra,53,SALARIE_CDI,3669,964,52874,120,27,3,0,0.296,HYPOTHEQUE,PROFESSIONNEL,1
COMMERCE,Rabat-Salé-Kénitra,25,FONCTIONNAIRE,3827,734,24067,48,6,3,0,0.202,CAUTION,PROFESSIONNEL,1
INDUSTRIE,Casablanca-Settat,28,RETRAITE,8606,3115,7974,120,10,4,2,0.383,AUCUNE,AUTO,1
COMMERCE,Dakhla-Oued Ed-Dahab,73,RETRAITE,6162,3219,25765,60,45,5,0,0.634,AUCUNE,IMMOBILIER,1
COMMERCE,Oriental,73,SALARIE_CDI,6332,3308,27823,36,45,1,0,0.473,HYPOTHEQUE,IMMOBILIER,1
SERVICES,Drâa-Tafilalet,46,SALARIE_CDI,10468,3891,56565,12,25,5,1,0.441,AUCUNE,CONSOMMATION,0
SERVICES,Oriental,55,SALARIE_CDI,5193,1938,40282,84,33,3,0,0.374,HYPOTHEQUE,PROFESSIONNEL,0
SERVICES,Oriental,52,INDEPENDANT,2735,1235,21234,12,26,1,0,0.448,AUCUNE,PROFESSIONNEL,0
COMMERCE,Casablanca-Settat,50,SALARIE_CDI,17080,10531,44087,84,26,1,0,0.648,CAUTION,CONSOMMATION,0
COMMERCE,Fès-Meknès,62,SALARIE_CDI,13967,3143,131081,84,42,4,1,0.133,AUCUNE,CONSOMMATION,1
INDUSTRIE,Rabat-Salé-Kénitra,53,SALARIE_CDD,13887,4895,82392,36,31,2,0,0.299,HYPOTHEQUE,IMMOBILIER,0
